row_index,sequence_id,key,dataset,seq_name,annotation_source,evaluation_mode,frame_count,ground_truth_frames,scored_frames,matched_prediction_frames,auc,norm_precision,accuracy_score,total_lost_frames,video_path,annotation_path,match_type,local_label,warning,error
239,dataset5__building4,dataset5/building4,dataset5,building4,local,scored,787,787,787,787,0.677376414352272,0.8075270769044595,0.729436679373147,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\building4\building4_30.mp4,C:\Users\yousif\Documents\AIC Data\our-data\UAV123\anno\UAV123\building4.txt,matched,UAV123/building4,,
240,dataset5__building5,dataset5/building5,dataset5,building5,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\building5\building5_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\building5\annotation.txt,matched,UAV123/building5,,
241,dataset5__car10,dataset5/car10,dataset5,car10,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car10\car10_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car10\annotation.txt,matched,UAV123/car10,,
242,dataset5__car11,dataset5/car11,dataset5,car11,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car11\car11_60.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car11\annotation.txt,matched,UAV123/car11,,
243,dataset5__car12,dataset5/car12,dataset5,car12,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car12\car12_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car12\annotation.txt,matched,UAV123/car12,,
244,dataset5__car13,dataset5/car13,dataset5,car13,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car13\car13_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car13\annotation.txt,matched,UAV123/car13,,
245,dataset5__car14,dataset5/car14,dataset5,car14,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car14\car14_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car14\annotation.txt,matched,UAV123/car14,,
246,dataset5__car15,dataset5/car15,dataset5,car15,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car15\car15_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car15\annotation.txt,matched,UAV123/car15,,
247,dataset5__car16_1,dataset5/car16_1,dataset5,car16_1,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car16_1\car16_1_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car16_1\annotation.txt,matched,UAV123/car16_1,,
248,dataset5__car16_2,dataset5/car16_2,dataset5,car16_2,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car16_2\car16_2_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car16_2\annotation.txt,matched,UAV123/car16_2,,
249,dataset5__car17,dataset5/car17,dataset5,car17,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car17\car17_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car17\annotation.txt,matched,UAV123/car17,,
250,dataset5__car18,dataset5/car18,dataset5,car18,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car18\car18_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car18\annotation.txt,matched,UAV123/car18,,
251,dataset5__car1_1,dataset5/car1_1,dataset5,car1_1,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car1_1\car1_1_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car1_1\annotation.txt,matched,UAV123/car1_1,,
252,dataset5__car1_2,dataset5/car1_2,dataset5,car1_2,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car1_2\car1_2_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car1_2\annotation.txt,matched,UAV123/car1_2,,
253,dataset5__car1_3,dataset5/car1_3,dataset5,car1_3,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car1_3\car1_3_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car1_3\annotation.txt,matched,UAV123/car1_3,,
